id_date;cod_batle_unique;cod_trainer_a;cod_trainer_b;cod_pok_a;cod_pok_b;result;location
20230116;20230116|3|16|52|1092|73;3;16;52;109;2;5
20230118;20230118|11|10|75|432|74;11;10;75;43;1;4
20230111;20230111|14|16|101|1312|75;14;16;101;131;3;4
20230116;20230116|15|2|92|692|76;15;2;92;69;3;3
20230128;20230128|11|19|120|972|77;11;19;120;97;3;2
20230123;20230123|10|11|24|1252|78;10;11;24;125;3;3
20230119;20230119|17|18|52|482|79;17;18;52;48;2;5
20230102;20230102|20|14|15|852|80;20;14;15;85;3;2
20230123;20230123|5|18|126|132|81;5;18;126;13;3;2
20230117;20230117|17|6|115|232|82;17;6;115;23;3;4
20230116;20230116|9|3|137|162|83;9;3;137;16;3;2
20230125;20230125|14|12|147|1332|84;14;12;147;133;1;3
20230126;20230126|12|8|60|1452|85;12;8;60;145;3;5
20230110;20230110|13|9|131|1302|86;13;9;131;130;2;2
20230120;20230120|17|6|139|382|87;17;6;139;38;2;3
20230121;20230121|9|15|87|42|88;9;15;87;4;3;3
20230127;20230127|14|12|11|1112|89;14;12;11;111;1;1
20230123;20230123|4|15|132|1332|90;4;15;132;133;1;4
20230120;20230120|9|5|51|1452|91;9;5;51;145;3;3
20230127;20230127|17|11|46|142|92;17;11;46;14;1;5
20230103;20230103|3|9|98|1132|93;3;9;98;113;3;1
20230117;20230117|2|2|73|452|94;2;2;73;45;2;2
20230101;20230101|16|14|103|142|95;16;14;103;14;3;1
20230105;20230105|8|3|62|1162|96;8;3;62;116;1;1
20230109;20230109|11|3|124|1152|97;11;3;124;115;3;1
20230124;20230124|8|16|104|952|98;8;16;104;95;2;2
20230129;20230129|6|8|30|1222|99;6;8;30;122;1;3
20230116;20230116|1|5|95|1122|100;1;5;95;112;3;2
20230105;20230105|17|12|72|1012|101;17;12;72;101;3;1
20230111;20230111|15|8|18|132|102;15;8;18;13;1;2
20230129;20230129|13|3|73|682|103;13;3;73;68;1;3
20230103;20230103|15|4|37|1452|104;15;4;37;145;2;2
20230104;20230104|20|2|98|1102|105;20;2;98;110;1;2
20230129;20230129|20|6|117|1462|106;20;6;117;146;2;4
20230122;20230122|6|1|141|1072|107;6;1;141;107;1;2
20230107;20230107|4|6|66|532|108;4;6;66;53;2;3
20230118;20230118|6|9|61|742|109;6;9;61;74;1;5
20230106;20230106|15|15|127|82|110;15;15;127;8;3;2
20230118;20230118|16|7|8|182|111;16;7;8;18;2;3
20230101;20230101|9|13|112|562|112;9;13;112;56;1;5
20230128;20230128|15|14|94|332|113;15;14;94;33;3;1
20230127;20230127|20|12|88|1412|114;20;12;88;141;2;5
20230102;20230102|20|4|102|432|115;20;4;102;43;1;5
20230108;20230108|17|16|56|982|116;17;16;56;98;3;5
20230104;20230104|13|16|105|1492|117;13;16;105;149;1;5
20230123;20230123|3|15|81|1272|118;3;15;81;127;3;2
20230110;20230110|2|3|18|782|119;2;3;18;78;1;3
20230113;20230113|2|15|53|1282|120;2;15;53;128;2;5
20230120;20230120|6|3|26|1482|121;6;3;26;148;1;2
20230111;20230111|18|19|122|1212|122;18;19;122;121;2;1
20230102;20230102|11|13|90|732|123;11;13;90;73;2;4
20230111;20230111|1|6|99|82|124;1;6;99;8;3;3
20230112;20230112|14|20|27|22|125;14;20;27;2;2;1
20230111;20230111|5|2|103|772|126;5;2;103;77;1;3
20230128;20230128|12|17|50|192|127;12;17;50;19;3;4
20230115;20230115|8|13|129|122|128;8;13;129;12;2;3
20230113;20230113|5|16|108|1092|129;5;16;108;109;2;2
20230111;20230111|11|20|13|1412|130;11;20;13;141;1;2
20230104;20230104|8|11|144|192|131;8;11;144;19;2;2
20230129;20230129|16|10|145|742|132;16;10;145;74;1;5
20230121;20230121|18|10|3|552|133;18;10;3;55;2;3
20230106;20230106|9|14|27|822|134;9;14;27;82;3;4
20230116;20230116|6|13|150|1132|135;6;13;150;113;1;2
20230113;20230113|18|2|125|202|136;18;2;125;20;1;4
20230119;20230119|12|9|69|1142|137;12;9;69;114;2;3
20230125;20230125|2|16|29|382|138;2;16;29;38;2;4
20230101;20230101|1|10|67|1452|139;1;10;67;145;3;1
20230102;20230102|19|9|89|1322|140;19;9;89;132;2;2
20230102;20230102|8|11|1|1342|141;8;11;1;134;1;3
20230104;20230104|14|18|115|492|142;14;18;115;49;1;3
20230108;20230108|5|11|1|702|143;5;11;1;70;1;3
20230129;20230129|6|4|145|992|144;6;4;145;99;2;2
20230101;20230101|12|14|136|1112|145;12;14;136;111;2;2
20230120;20230120|18|17|130|62|146;18;17;130;6;1;5
20230118;20230118|14|17|130|452|147;14;17;130;45;3;2
20230120;20230120|14|2|74|1282|148;14;2;74;128;2;4
20230107;20230107|5|5|49|902|149;5;5;49;90;3;4
20230117;20230117|16|7|45|1322|150;16;7;45;132;3;3
20230110;20230110|19|12|105|202|151;19;12;105;20;2;4
20230104;20230104|20|18|63|562|152;20;18;63;56;3;3
20230128;20230128|4|13|141|352|153;4;13;141;35;1;5
20230121;20230121|14|9|11|1282|154;14;9;11;128;2;5
20230109;20230109|1|15|77|1302|155;1;15;77;130;3;5
20230122;20230122|4|12|28|482|156;4;12;28;48;3;3
20230117;20230117|9|2|128|1412|157;9;2;128;141;3;4
20230124;20230124|18|9|67|1402|158;18;9;67;140;1;1
20230105;20230105|15|12|103|1372|159;15;12;103;137;1;4
20230115;20230115|6|17|95|1092|160;6;17;95;109;3;4
20230114;20230114|9|16|1|802|161;9;16;1;80;3;4
20230129;20230129|13|9|14|902|162;13;9;14;90;3;4
20230119;20230119|3|8|103|1222|163;3;8;103;122;3;3
20230108;20230108|18|9|39|662|164;18;9;39;66;1;3
20230125;20230125|11|19|118|502|165;11;19;118;50;2;5
20230112;20230112|9|19|33|842|166;9;19;33;84;2;5
20230104;20230104|11|20|55|612|167;11;20;55;61;3;5
20230110;20230110|5|17|64|1212|168;5;17;64;121;1;1
20230103;20230103|14|17|92|402|169;14;17;92;40;2;2
20230122;20230122|1|6|80|1042|170;1;6;80;104;1;1
20230112;20230112|8|15|70|1442|171;8;15;70;144;3;3
20230127;20230127|12|2|17|202|172;12;2;17;20;3;1
20230109;20230109|19|18|53|352|173;19;18;53;35;3;5
20230101;20230101|6|20|31|432|174;6;20;31;43;1;1
20230108;20230108|17|20|94|1102|175;17;20;94;110;3;5
20230111;20230111|14|13|137|602|176;14;13;137;60;3;5
20230102;20230102|15|14|67|92|177;15;14;67;9;3;3
20230110;20230110|10|7|108|1222|178;10;7;108;122;2;4
20230102;20230102|2|16|119|192|179;2;16;119;19;3;5
20230123;20230123|14|7|5|812|180;14;7;5;81;3;5
20230106;20230106|13|1|146|1152|181;13;1;146;115;1;1
20230106;20230106|12|15|20|1032|182;12;15;20;103;1;4
20230115;20230115|1|1|87|522|183;1;1;87;52;3;2
20230104;20230104|18|17|14|1432|184;18;17;14;143;3;4
20230130;20230130|19|15|100|352|185;19;15;100;35;2;3
20230120;20230120|18|9|132|1152|186;18;9;132;115;2;4
20230112;20230112|18|12|82|882|187;18;12;82;88;2;1
20230119;20230119|14|10|34|1462|188;14;10;34;146;1;4
20230101;20230101|19|11|118|612|189;19;11;118;61;3;2
20230123;20230123|2|1|72|592|190;2;1;72;59;2;2
20230111;20230111|9|1|110|962|191;9;1;110;96;3;2
20230119;20230119|7|2|122|442|192;7;2;122;44;1;4
20230130;20230130|12|9|136|732|193;12;9;136;73;3;1
20230102;20230102|17|10|3|262|194;17;10;3;26;1;1
20230124;20230124|7|5|4|202|195;7;5;4;20;3;3
20230111;20230111|2|16|143|772|196;2;16;143;77;3;1
20230102;20230102|10|15|14|782|197;10;15;14;78;2;4
20230123;20230123|2|11|61|1332|198;2;11;61;133;2;2
20230101;20230101|10|7|59|1142|199;10;7;59;114;1;2
20230109;20230109|15|16|75|532|200;15;16;75;53;1;3
20230102;20230102|19|16|98|92|201;19;16;98;9;1;3
20230106;20230106|18|6|70|572|202;18;6;70;57;3;1
20230121;20230121|20|4|1|1252|203;20;4;1;125;2;1
20230112;20230112|17|2|100|22|204;17;2;100;2;1;3
20230122;20230122|5|6|148|642|205;5;6;148;64;2;2
20230118;20230118|3|2|74|232|206;3;2;74;23;3;3
20230123;20230123|8|3|88|102|207;8;3;88;10;1;5
20230117;20230117|8|11|89|322|208;8;11;89;32;2;1
20230105;20230105|7|19|70|952|209;7;19;70;95;1;2
20230122;20230122|20|8|1|582|210;20;8;1;58;2;1
20230128;20230128|7|16|31|262|211;7;16;31;26;2;4
20230102;20230102|19|2|133|862|212;19;2;133;86;1;3
20230121;20230121|5|20|132|1292|213;5;20;132;129;1;5
20230114;20230114|10|18|15|1202|214;10;18;15;120;1;5
20230101;20230101|10|15|100|762|215;10;15;100;76;1;5
20230119;20230119|13|1|135|182|216;13;1;135;18;1;3
20230111;20230111|9|7|123|172|217;9;7;123;17;3;4
20230124;20230124|6|19|5|712|218;6;19;5;71;2;3
20230106;20230106|3|9|134|232|219;3;9;134;23;3;2
20230118;20230118|20|20|51|1362|220;20;20;51;136;2;2
20230110;20230110|11|7|33|1342|221;11;7;33;134;1;4
20230129;20230129|18|1|115|1052|222;18;1;115;105;1;2
20230117;20230117|7|17|122|1402|223;7;17;122;140;3;1
20230118;20230118|15|2|6|562|224;15;2;6;56;2;3
20230109;20230109|10|7|147|22|225;10;7;147;2;2;5
20230125;20230125|12|1|12|602|226;12;1;12;60;1;2
20230101;20230101|7|14|59|1052|227;7;14;59;105;3;3
20230128;20230128|10|6|137|302|228;10;6;137;30;1;2
20230112;20230112|8|2|66|152|229;8;2;66;15;2;4
20230108;20230108|10|6|25|482|230;10;6;25;48;3;2
20230114;20230114|4|9|64|1382|231;4;9;64;138;3;1
20230109;20230109|12|18|134|1002|232;12;18;134;100;2;2
20230101;20230101|16|2|8|382|233;16;2;8;38;3;1
20230122;20230122|1|1|145|752|234;1;1;145;75;1;3
20230102;20230102|19|12|60|1332|235;19;12;60;133;2;2
20230114;20230114|7|12|26|402|236;7;12;26;40;1;5
20230130;20230130|20|10|116|792|237;20;10;116;79;2;2
20230117;20230117|10|11|145|272|238;10;11;145;27;3;3
20230125;20230125|19|15|107|952|239;19;15;107;95;3;4
20230111;20230111|16|18|119|352|240;16;18;119;35;3;5
20230107;20230107|6|2|59|42|241;6;2;59;4;2;1
20230116;20230116|8|18|11|132|242;8;18;11;13;2;5
20230108;20230108|5|14|64|672|243;5;14;64;67;3;3
20230116;20230116|8|8|79|282|244;8;8;79;28;2;2
20230129;20230129|9|12|5|1092|245;9;12;5;109;2;3
20230124;20230124|13|9|65|1162|246;13;9;65;116;2;1
20230123;20230123|6|16|118|642|247;6;16;118;64;3;4
20230115;20230115|8|11|125|552|248;8;11;125;55;1;4
20230103;20230103|19|1|23|1082|249;19;1;23;108;2;1
20230125;20230125|2|13|91|632|250;2;13;91;63;2;4
20230120;20230120|7|8|93|62|251;7;8;93;6;3;3
20230114;20230114|12|8|14|1492|252;12;8;14;149;1;2
20230114;20230114|12|17|29|392|253;12;17;29;39;1;2
20230115;20230115|18|20|134|1082|254;18;20;134;108;3;5
20230113;20230113|16|4|2|12|255;16;4;2;1;2;2
20230103;20230103|20|5|8|732|256;20;5;8;73;1;4
20230129;20230129|4|10|59|542|257;4;10;59;54;3;2
20230112;20230112|16|20|11|1282|258;16;20;11;128;2;3
20230127;20230127|13|2|99|322|259;13;2;99;32;3;3
20230117;20230117|5|7|138|672|260;5;7;138;67;2;3
20230125;20230125|17|3|148|1372|261;17;3;148;137;3;2
20230101;20230101|4|19|90|1432|262;4;19;90;143;2;1
20230129;20230129|1|3|80|342|263;1;3;80;34;3;1
20230109;20230109|12|4|96|622|264;12;4;96;62;3;1
20230119;20230119|7|12|46|1422|265;7;12;46;142;2;1
20230109;20230109|5|7|17|1102|266;5;7;17;110;3;1
20230103;20230103|10|6|43|552|267;10;6;43;55;2;5
20230127;20230127|2|16|20|1092|268;2;16;20;109;1;4
20230114;20230114|11|18|96|442|269;11;18;96;44;2;3
20230122;20230122|1|8|100|22|270;1;8;100;2;3;4
20230121;20230121|18|13|18|562|271;18;13;18;56;1;5
20230108;20230108|13|3|107|52|272;13;3;107;5;3;2
20230104;20230104|13|20|12|1062|273;13;20;12;106;1;1
20230101;20230101|2|16|150|1152|274;2;16;150;115;3;2
20230124;20230124|14|8|47|602|275;14;8;47;60;1;5
20230107;20230107|9|1|26|1192|276;9;1;26;119;2;1
20230114;20230114|12|4|28|1362|277;12;4;28;136;1;2
20230113;20230113|17|1|133|742|278;17;1;133;74;1;2
20230109;20230109|14|16|147|1342|279;14;16;147;134;3;2
20230125;20230125|18|10|63|682|280;18;10;63;68;1;1
20230111;20230111|6|13|85|242|281;6;13;85;24;1;1
20230116;20230116|13|15|101|472|282;13;15;101;47;2;5
20230111;20230111|13|8|98|542|283;13;8;98;54;1;2
20230125;20230125|5|13|71|382|284;5;13;71;38;3;4
20230104;20230104|3|13|149|732|285;3;13;149;73;2;3
20230119;20230119|4|14|57|292|286;4;14;57;29;3;1
20230129;20230129|3|6|96|602|287;3;6;96;60;1;5
20230101;20230101|11|5|58|1342|288;11;5;58;134;2;4
20230115;20230115|16|17|25|72|289;16;17;25;7;2;1
20230115;20230115|10|14|98|222|290;10;14;98;22;1;4
20230109;20230109|11|16|18|162|291;11;16;18;16;1;3
20230118;20230118|15|13|76|682|292;15;13;76;68;2;2
20230105;20230105|3|12|9|692|293;3;12;9;69;2;4
20230111;20230111|4|20|5|1022|294;4;20;5;102;2;3
20230106;20230106|12|9|132|842|295;12;9;132;84;1;1
20230107;20230107|19|18|74|372|296;19;18;74;37;2;2
20230128;20230128|2|8|76|712|297;2;8;76;71;1;5
20230111;20230111|6|7|35|252|298;6;7;35;25;1;5
20230129;20230129|10|17|3|1322|299;10;17;3;132;1;4
20230110;20230110|15|6|138|162|300;15;6;138;16;2;4
